,Date,Predicted Close Price
0,2020-04-01,1132.8413
1,2020-04-02,1130.0372
2,2020-04-03,1126.0029
3,2020-04-04,1122.1366
4,2020-04-05,1118.9698
5,2020-04-06,1116.674
6,2020-04-07,1115.2429
7,2020-04-08,1114.5804
8,2020-04-09,1114.5483
9,2020-04-10,1114.9962
10,2020-04-11,1115.7799
11,2020-04-12,1116.7734
12,2020-04-13,1117.8757
13,2020-04-14,1119.0106
14,2020-04-15,1120.1272
15,2020-04-16,1121.1951
16,2020-04-17,1122.2006
17,2020-04-18,1123.1417
18,2020-04-19,1124.0243
19,2020-04-20,1124.859
20,2020-04-21,1125.6569
21,2020-04-22,1126.429
22,2020-04-23,1127.1852
23,2020-04-24,1127.9325
24,2020-04-25,1128.6759
25,2020-04-26,1129.4185
26,2020-04-27,1130.1615
27,2020-04-28,1130.905
28,2020-04-29,1131.6487
29,2020-04-30,1132.3911
