batch_size,offset,epochs,lstm_layers,lstm1_nodes,lstm2_nodes,lstm1_dropouts,lstm2_dropouts,loss
5.0,30.0,20.0,2.0,100.0,32.0,0.0,0.223,0.04053509499016865
5.0,30.0,20.0,2.0,100.0,100.0,0.013,0.452,0.04298199661201717
5.0,30.0,20.0,1.0,100.0,0.0,0.052,0.0,0.04407567938325124
5.0,30.0,20.0,2.0,100.0,32.0,0.002,0.031,0.04504778989268734
5.0,30.0,20.0,2.0,64.0,32.0,0.024,0.096,0.045873366909342024
5.0,30.0,20.0,2.0,100.0,32.0,0.059,0.055,0.049467100438273896
5.0,30.0,20.0,1.0,100.0,0.0,0.083,0.0,0.05135444287060588
5.0,30.0,20.0,2.0,100.0,32.0,0.011,0.4,0.05965265291938307
5.0,30.0,20.0,2.0,100.0,32.0,0.026,0.162,0.06180237718038419
5.0,45.0,10.0,1.0,32.0,0.0,0.034,0.0,0.06425399073977361
5.0,30.0,20.0,2.0,100.0,32.0,0.065,0.123,0.07045313843799009
5.0,45.0,10.0,1.0,32.0,0.0,0.096,0.0,0.07123449294174704
10.0,90.0,20.0,2.0,100.0,32.0,0.001,0.478,0.07274639015018053
5.0,30.0,20.0,1.0,64.0,0.0,0.019,0.0,0.0761724025664453
5.0,45.0,10.0,1.0,32.0,0.0,0.002,0.0,0.07734562730984396
5.0,45.0,10.0,1.0,32.0,0.0,0.047,0.0,0.07903801043475012
5.0,45.0,10.0,1.0,32.0,0.0,0.0,0.0,0.07982950837778197
10.0,45.0,10.0,1.0,64.0,0.0,0.023,0.0,0.08001122974904534
5.0,45.0,10.0,1.0,32.0,0.0,0.103,0.0,0.0817126284451914
5.0,30.0,5.0,1.0,100.0,0.0,0.109,0.0,0.08448311008936688
5.0,30.0,10.0,2.0,64.0,32.0,0.006,0.062,0.08621520100913538
5.0,30.0,20.0,2.0,100.0,32.0,0.04,0.213,0.08629439723970511
5.0,30.0,20.0,2.0,100.0,64.0,0.042,0.169,0.08744290836702828
5.0,30.0,20.0,2.0,100.0,32.0,0.055,0.055,0.0998767922879976
5.0,60.0,5.0,2.0,100.0,32.0,0.001,0.102,0.10384028126980789
5.0,30.0,20.0,2.0,100.0,32.0,0.013,0.378,0.10449375678078372
5.0,45.0,10.0,1.0,32.0,0.0,0.002,0.0,0.10491139778926048
5.0,30.0,20.0,1.0,100.0,0.0,0.053,0.0,0.1054630341763925
1.0,60.0,1.0,1.0,32.0,0.0,0.05,0.0,0.10586273089885502
1.0,45.0,10.0,1.0,64.0,0.0,0.066,0.0,0.10613765397148019
5.0,45.0,10.0,2.0,100.0,64.0,0.083,0.002,0.10779028675465292
5.0,30.0,20.0,2.0,100.0,32.0,0.133,0.027,0.1081990578119987
5.0,45.0,1.0,1.0,32.0,0.0,0.031,0.0,0.11041611003956911
1.0,60.0,5.0,2.0,100.0,64.0,0.075,0.281,0.1114748329486131
1.0,60.0,10.0,1.0,32.0,0.0,0.125,0.0,0.11424627177324075
5.0,30.0,20.0,2.0,100.0,100.0,0.045,0.466,0.11681850459592824
5.0,45.0,1.0,1.0,32.0,0.0,0.016,0.0,0.11878055514142777
5.0,30.0,5.0,1.0,100.0,0.0,0.063,0.0,0.11981914422582651
5.0,45.0,20.0,1.0,32.0,0.0,0.152,0.0,0.12040898518423385
1.0,30.0,20.0,2.0,64.0,100.0,0.116,0.335,0.12046845842106743
5.0,45.0,10.0,1.0,32.0,0.0,0.034,0.0,0.1212913435357654
1.0,30.0,5.0,1.0,64.0,0.0,0.077,0.0,0.12284086535047448
5.0,30.0,20.0,2.0,100.0,32.0,0.09,0.402,0.12406218649537194
5.0,45.0,10.0,1.0,32.0,0.0,0.099,0.0,0.12588170386858294
5.0,60.0,10.0,1.0,32.0,0.0,0.103,0.0,0.13201475422665976
5.0,30.0,20.0,2.0,100.0,32.0,0.147,0.151,0.14580406048367767
5.0,30.0,20.0,1.0,100.0,0.0,0.141,0.0,0.1460704426818176
10.0,30.0,20.0,2.0,100.0,32.0,0.119,0.201,0.14647584357324864
5.0,45.0,10.0,1.0,32.0,0.0,0.128,0.0,0.14763721907056812
5.0,30.0,20.0,1.0,100.0,0.0,0.079,0.0,0.14997687519178446
10.0,30.0,1.0,2.0,100.0,32.0,0.092,0.135,0.15156249384312342
10.0,60.0,5.0,2.0,100.0,32.0,0.072,0.427,0.15474003670828254
1.0,30.0,20.0,1.0,32.0,0.0,0.132,0.0,0.15798276665506358
5.0,30.0,20.0,2.0,100.0,32.0,0.125,0.298,0.15809099857393444
10.0,30.0,20.0,2.0,100.0,32.0,0.111,0.236,0.1621632774296628
5.0,45.0,5.0,2.0,32.0,100.0,0.137,0.353,0.16461919345552126
5.0,60.0,5.0,2.0,100.0,32.0,0.035,0.249,0.17096442942489243
5.0,90.0,20.0,2.0,64.0,100.0,0.155,0.235,0.17326009973732018
10.0,30.0,5.0,1.0,100.0,0.0,0.18,0.0,0.18221533482003027
5.0,90.0,20.0,1.0,32.0,0.0,0.163,0.0,0.186536270079084
5.0,30.0,20.0,2.0,100.0,64.0,0.175,0.189,0.19292816004276855
10.0,90.0,10.0,2.0,64.0,32.0,0.184,0.062,0.19673290405433125
5.0,60.0,10.0,1.0,64.0,0.0,0.279,0.0,0.1987136342035386
5.0,30.0,20.0,1.0,100.0,0.0,0.167,0.0,0.20626873982088947
10.0,90.0,1.0,2.0,100.0,100.0,0.071,0.434,0.20984409207339655
5.0,45.0,20.0,1.0,32.0,0.0,0.163,0.0,0.2135957785034577
5.0,90.0,10.0,2.0,32.0,64.0,0.242,0.01,0.22333176848449626
1.0,30.0,5.0,1.0,64.0,0.0,0.263,0.0,0.24386884757802288
10.0,30.0,5.0,2.0,64.0,32.0,0.274,0.115,0.2520676714365958
5.0,30.0,1.0,2.0,64.0,32.0,0.192,0.126,0.25322141962383005
5.0,45.0,1.0,1.0,32.0,0.0,0.212,0.0,0.2538915177002415
1.0,30.0,20.0,1.0,100.0,0.0,0.264,0.0,0.26737831113176863
1.0,60.0,5.0,1.0,100.0,0.0,0.31,0.0,0.2680087803995317
5.0,30.0,10.0,2.0,64.0,100.0,0.26,0.261,0.2751241774381664
1.0,90.0,20.0,2.0,100.0,64.0,0.224,0.448,0.27574513378387117
5.0,30.0,5.0,2.0,64.0,64.0,0.214,0.34,0.2807663680928954
10.0,90.0,1.0,2.0,100.0,64.0,0.203,0.185,0.281017953807847
10.0,45.0,20.0,2.0,32.0,100.0,0.238,0.27,0.281584020959637
5.0,60.0,10.0,1.0,64.0,0.0,0.196,0.0,0.289621267211646
1.0,45.0,20.0,2.0,32.0,100.0,0.336,0.374,0.2930059407480443
5.0,30.0,20.0,2.0,100.0,32.0,0.286,0.079,0.30783830352431235
5.0,30.0,20.0,2.0,100.0,100.0,0.351,0.035,0.3117933042840438
10.0,45.0,10.0,1.0,32.0,0.0,0.31,0.0,0.3309975472774642
5.0,90.0,1.0,1.0,32.0,0.0,0.209,0.0,0.3333910918494603
10.0,45.0,10.0,1.0,32.0,0.0,0.32,0.0,0.33991464660220516
1.0,60.0,1.0,2.0,64.0,100.0,0.186,0.484,0.3428745619451257
1.0,90.0,5.0,2.0,32.0,32.0,0.361,0.455,0.3442027546359018
1.0,60.0,1.0,2.0,100.0,64.0,0.432,0.488,0.3588625649998405
5.0,90.0,20.0,1.0,64.0,0.0,0.367,0.0,0.36216733729532213
5.0,90.0,1.0,2.0,100.0,32.0,0.223,0.019,0.36778216735922453
10.0,60.0,10.0,1.0,100.0,0.0,0.362,0.0,0.3802969956164043
10.0,30.0,20.0,2.0,100.0,100.0,0.394,0.308,0.38212685115747014
1.0,90.0,1.0,2.0,32.0,64.0,0.4,0.208,0.3990037180419654
5.0,30.0,1.0,1.0,64.0,0.0,0.293,0.0,0.4148648282826764
1.0,60.0,5.0,2.0,100.0,64.0,0.446,0.326,0.434729048331997
1.0,45.0,10.0,2.0,100.0,100.0,0.494,0.157,0.4478237798327435
5.0,30.0,20.0,1.0,100.0,0.0,0.395,0.0,0.47108385815058296
1.0,30.0,20.0,1.0,100.0,0.0,0.477,0.0,0.4882942709020968
10.0,60.0,5.0,1.0,100.0,0.0,0.439,0.0,0.5270253928666336
1.0,90.0,10.0,1.0,100.0,0.0,0.487,0.0,0.5586246408264073
